sheet_row,business_name,city,phone_on_file,why
272,Teddys Transportation LLC,Collegedale,423-503-0258,NOT CONFIRMED: no official site or business-run page found for Teddys Transportation LLC in Collegedale. Needs a live check of 423-503-0258.
273,"Varnell Construction Company, Inc.",Harrison,(423) 344-8365,NOT CONFIRMED: no official site or business-run page found for Varnell Construction in Harrison. Needs a live check of 423-344-8365.
274,Wall Construction Co,Harrison,(423) 344-7494,NOT CONFIRMED: no official site or business-run page found for Wall Construction Co in Harrison. Needs a live check of 423-344-7494.
279,Broadway Electric Service Corp,Signal Mountain,(423) 886-7556,NOT CONFIRMED after a second attempt on besc.com and broadwayelectricservice.com: neither returns anything. broadwayelectric.com is an unrelated Illinois firm. Needs a live call to 423-886-7556.
280,Marispan Property Management,Signal Mountain,(423) 886-7392,NOT CONFIRMED: no official site or business-run page found under this name; the spelling may be wrong. Needs a live check of 423-886-7392.
283,Parham Landscaping,Lookout Mountain,(423) 825-5502,NOT CONFIRMED after two attempts: no page or site under this name on Lookout Mountain or in Chattanooga. Needs a live call to 423-825-5502.
284,Tree Busters Tree Service,Sale Creek,(423) 503-0949,NOT CONFIRMED after a second attempt: no business-run page for Tree Busters in Sale Creek or Soddy-Daisy; the only Tree Busters page found is in Massachusetts. The website originally on this row belonged to Nabor's Tree Service. Needs a live call to 423-503-0949.
288,"Tennessee Roofing & Construction, Inc.",Hixson,(423) 842-8826,"NOT CONFIRMED after a second attempt: no official site or business-run page for Tennessee Roofing & Construction in Hixson, and tennesseeroofing.com is an 865-number Knoxville firm. Needs a live call to 423-842-8826."
291,Northwest Exterminating (Hixson),Hixson,(423) 877-0111,WEBSITE WRONG: northwestexterminating.com returns nothing for this branch; the company's real domain is callnorthwest.com. Removed. This row also likely duplicates the Northwest Exterminating row for Ooltewah - check before keeping both.
294,Precise Plumbing (Hixson),Hixson,(423) 843-0124,"WEBSITE WRONG: preciseplumbing.com is a Los Angeles company (323/818 numbers), not the Hixson business. Removed. Also likely duplicates the Precise Plumbing row for Soddy-Daisy - check before keeping both."
303,Hixson Auto Sales,Hixson,(423) 847-6530,"NOT CONFIRMED: the only Hixson Auto Sales found is in Pine Bluff, Arkansas. No official site or business-run page for a Hixson TN dealer under this name. Needs a live check of 423-847-6530."
309,Grant-Neil Electric,Hixson,(423) 843-3391,NOT CONFIRMED after two attempts: no page or site under this name; many other Chattanooga electrical contractors surface but not this one. Needs a live call to 423-843-3391.
319,Allied Electrical & Control,Soddy-Daisy,(423) 877-7421,NOT CONFIRMED: no official site or business-run page found for Allied Electrical & Control in Soddy-Daisy. Needs a live check of 423-877-7421.
328,Chattanooga Professional Painters,Soddy-Daisy,(423) 842-3008,NOT CONFIRMED: no official site or business-run page found under this exact name; the searches only surfaced other Chattanooga painting firms. Needs a live check of 423-842-3008.
329,Wilkey Roofing,Soddy-Daisy,(423) 332-6710,NOT CONFIRMED after two attempts: a Wilkey Roofing page exists but publishes nothing and no location is stated. Needs a live call to 423-332-6710.
330,Petra Roofing & Siding,Soddy-Daisy,(423) 593-1816,"NOT CONFIRMED after a second attempt: petraexteriors.com is a Nashville contractor (licence #80976) with no Chattanooga service area listed, so it is not this business. Needs a live call to 423-593-1816."
334,R&A Catering,Soddy-Daisy,(423) 598-8855,"NOT CONFIRMED: the only R&A Catering found is in Monaca, Pennsylvania. No official site or business-run page for a Soddy-Daisy operation. Needs a live check of 423-598-8855."
338,ETN Cleaning Services,Soddy-Daisy,(423) 883-7978,NOT CONFIRMED: the only ETN Cleaning Services found is in South Africa. No official site or business-run page for a Soddy-Daisy operation. Needs a live check of 423-883-7978.
354,Kiddie Kampus,Collegedale,(423) 396-9253,"NOT CONFIRMED: no Kiddie Kampus found in Collegedale - the pages under that name are in TX, NC, CA, IL, OH and WI. May have closed or renamed. Needs a live check of 423-396-9253."
358,Collegedale Quick Print,Collegedale,(423) 236-2861,"NOT CONFIRMED after two attempts: no page or site for a Quick Print in Collegedale. Other local printers do surface (Dixie Labels in Ooltewah, Southern Printing in Hixson), so this one may have closed or renamed. Needs a live call to 423-236-2861."
360,"Collegedale Medical Center, PC (Dr. David Winters, DO)",Collegedale,(423) 396-2136,"NOT CONFIRMED: no official site or business-run page found for Collegedale Medical Center PC. Dr David Winters does appear as medical director at Life Care Center of Hixson, so he practises locally. Needs a live check of 423-396-2136."
364,T.H.I. Electrical Contractors LLC,Signal Mountain,(423) 280-0251,NOT CONFIRMED: no official site or business-run page found under this name; the nearest match is the unrelated T & H Electrical Contractors LLC. Needs a live check of 423-280-0251.
367,Signal Tree and Dirt Services,Signal Mountain,(423) 413-2150,"NOT CONFIRMED after two attempts: no page or site under this name. Plenty of other Chattanooga tree services surface, so the name may be wrong. Needs a live call to 423-413-2150."
371,CR Paint Inc,Signal Mountain,(423) 779-7907,NOT CONFIRMED: no official site or business-run page found for CR Paint Inc on Signal Mountain. Needs a live check of 423-779-7907.
377,Gipsy Gourmet Catering,Signal Mountain,(423) 250-3039,NOT CONFIRMED: no official site or business-run page found under this name on Signal Mountain. Needs a live check of 423-250-3039.
379,Educare Day Care & Learning Center,Signal Mountain,(423) 517-0065,"NOT CONFIRMED: no Educare found on Signal Mountain - the pages under that name are in NH, NC, FL, MS and Memphis. May have closed or renamed. Needs a live check of 423-517-0065."
